Топ энергетических интервалов (Δt=0.1 c, Δf=45 Гц):

01. E=0.001000, t=[18.80, 18.90] c, f=[4005.0, 4050.0] Гц
02. E=0.000918, t=[2.30, 2.40] c, f=[4005.0, 4050.0] Гц
03. E=0.000863, t=[18.80, 18.90] c, f=[4770.0, 4815.0] Гц
04. E=0.000808, t=[18.80, 18.90] c, f=[3960.0, 4005.0] Гц
05. E=0.000734, t=[13.80, 13.90] c, f=[4680.0, 4725.0] Гц
06. E=0.000704, t=[2.30, 2.40] c, f=[4770.0, 4815.0] Гц
07. E=0.000703, t=[6.40, 6.50] c, f=[4770.0, 4815.0] Гц
08. E=0.000687, t=[5.30, 5.40] c, f=[4680.0, 4725.0] Гц
09. E=0.000676, t=[6.40, 6.50] c, f=[4680.0, 4725.0] Гц
10. E=0.000673, t=[3.10, 3.20] c, f=[4950.0, 4995.0] Гц
